Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,PercentDD,Trades,ReEntryExtension,PTAsTimeREExt,CloseBreakEvenAfter,Pair
8587,72080214.00,30659.42,11.54346,2.23833,0.33120,-0.00906,72080214,92.57,2656,0.2,1.2,3,AUDCAD
4867,71080114.00,30281.59,11.45728,2.33575,0.32753,-0.00504,71080114,92.45,2643,0.2,1.8,2,AUDCAD
20522,220077314.00,7770.94,7.61857,1.38883,0.08670,-0.00512,220077314,89.65,1020,0.3,1.2,5,AUDCAD
20894,229077114.00,7425.80,7.78386,1.29128,0.08298,-0.01019,229077114,89.50,954,0.3,1.3,5,AUDCAD
22723,138074814.00,2163.46,1.30016,1.07423,0.02482,-0.04424,138074814,87.17,1664,0.2,1.8,5,AUDCAD
16771,138074214.00,5751.88,3.19904,1.26006,0.06642,-0.01104,138074214,86.60,1798,0.2,1.8,4,AUDCAD
4495,68074214.00,3601.16,1.31094,1.19800,0.04159,-0.00621,68074214,86.58,2747,0.2,1.7,2,AUDCAD
7471,67073914.00,4553.48,1.45432,1.22201,0.05278,-0.01087,67073914,86.28,3131,0.2,0.9,3,AUDCAD
5611,108073814.00,3587.90,1.42603,1.19111,0.04162,-0.01249,108073814,86.20,2516,0.2,2,2,AUDCAD
3379,75054813.00,15354.39,5.02270,1.97008,0.22871,-0.01976,75054813,67.13,3057,0.2,1.4,2,AUDCAD
22382,222046713.00,19601.87,24.17000,1.82300,0.37029,-0.01106,222046713,52.92,811,0.3,1.7,5,AUDCAD
19034,222039113.00,5060.62,3.65124,1.18909,0.09667,-0.02869,222039113,52.35,1386,0.3,0.8,5,AUDCAD
21266,213038613.00,5664.97,6.17099,1.24952,0.10929,-0.02888,213038613,51.83,918,0.3,1.4,5,AUDCAD
23064,57042614.00,25482.42,4.70069,1.45601,0.52948,0.00001,57042614,47.97,5421,0.1,1.9,5,AUDCAD
23126,234040413.00,5888.59,7.94682,1.25796,0.12634,-0.00717,234040413,46.59,741,0.3,1.9,5,AUDCAD
7812,39044814.00,12269.68,1.30459,1.36460,0.26790,-0.00002,39044814,45.80,9405,0.1,1,3,AUDCAD
19778,206039113.00,7149.82,5.95818,1.34881,0.15779,-0.00004,206039113,45.31,1200,0.3,1,5,AUDCAD
5208,36043614.00,8079.05,0.93648,1.30231,0.18112,0.00000,36043614,44.61,8627,0.1,1.9,2,AUDCAD
17112,52043614.00,13176.28,2.27021,1.38113,0.29541,0.00000,52043614,44.60,5804,0.1,1.9,4,AUDCAD
11160,51043614.00,10068.26,1.51699,1.36215,0.22573,-0.00001,51043614,44.60,6637,0.1,1.9,3,AUDCAD
5239,107037913.00,6395.75,2.43741,1.33177,0.14495,-0.00826,107037913,44.13,2624,0.2,1.9,2,AUDCAD
22320,57042614.00,27202.13,4.67391,1.71697,0.62801,-0.00008,57042614,43.31,5820,0.1,1.7,5,AUDCAD
23436,57042514.00,16303.68,3.10369,1.45023,0.37686,-0.00001,57042514,43.26,5253,0.1,2,5,AUDCAD
22692,57042514.00,16031.06,2.82785,1.46011,0.37066,0.00001,57042514,43.25,5669,0.1,1.8,5,AUDCAD
20832,56042514.00,33985.86,4.83440,1.71313,0.78577,-0.00007,56042514,43.25,7030,0.1,1.3,5,AUDCAD
20088,49041814.00,29653.67,3.89718,1.72146,0.69694,-0.00001,49041814,42.55,7609,0.1,1.1,5,AUDCAD
22754,282034212.00,3938.72,5.09537,1.25813,0.09744,-0.01996,282034212,40.42,773,0.3,1.8,5,AUDCAD
1488,45032114.00,14150.60,1.17686,1.52597,0.42760,0.00000,45032114,33.09,12024,0.1,0.9,2,AUDCAD
11532,57031814.00,14913.46,2.33753,1.51139,0.45366,-0.00001,57031814,32.84,6380,0.1,2,3,AUDCAD
16740,57031814.00,16411.77,2.72124,1.51780,0.49924,0.00000,57031814,32.84,6031,0.1,1.8,4,AUDCAD
10788,40031814.00,13060.91,1.90642,1.48505,0.39731,-0.00001,40031814,32.84,6851,0.1,1.8,3,AUDCAD
21204,56030514.00,20671.81,3.14879,1.48684,0.63479,-0.00011,56030514,32.56,6565,0.1,1.4,5,AUDCAD
21576,48030514.00,20663.58,3.28150,1.46933,0.63460,-0.00010,48030514,32.56,6297,0.1,1.5,5,AUDCAD
21948,57030514.00,20798.34,3.44800,1.44785,0.63886,-0.00010,57030514,32.55,6032,0.1,1.6,5,AUDCAD
19344,56030514.00,30596.20,3.55398,1.64253,0.94006,0.00000,56030514,32.55,8609,0.1,0.9,5,AUDCAD
20460,56031314.00,25557.15,3.49667,1.63986,0.78752,0.00000,56031314,32.39,7309,0.1,1.2,5,AUDCAD
19716,46029514.00,28005.07,3.48495,1.63117,0.88719,0.00000,46029514,31.56,8036,0.1,1,5,AUDCAD
6758,129024112.00,12216.49,6.87478,2.02769,0.39755,-0.00013,129024112,30.73,1777,0.3,0.7,3,AUDCAD
18662,159024112.00,12218.10,7.90304,1.82698,0.39771,-0.04710,159024112,30.72,1546,0.3,0.7,5,AUDCAD
9362,150024112.00,11546.53,10.55442,2.00201,0.37615,-0.01284,150024112,30.70,1094,0.3,1.4,3,AUDCAD
10850,158022912.00,2089.47,2.20408,1.15066,0.07082,-0.03219,158022912,29.50,948,0.3,1.8,3,AUDCAD
22010,233022912.00,3692.99,4.36008,1.21168,0.12519,-0.06216,233022912,29.50,847,0.3,1.6,5,AUDCAD
4154,118022912.00,2323.50,1.68004,1.18193,0.07877,0.00009,118022912,29.50,1383,0.3,1.6,2,AUDCAD
6014,183022612.00,2891.00,1.37536,1.18213,0.09882,-0.03117,183022612,29.25,2102,0.3,0.5,3,AUDCAD
11966,184022612.00,3474.69,1.74871,1.21783,0.11879,-0.03048,184022612,29.25,1987,0.3,0.5,4,AUDCAD
17918,184022612.00,4678.38,2.48586,1.30258,0.15997,-0.00008,184022612,29.25,1882,0.3,0.5,5,AUDCAD
12338,184021912.00,4967.24,2.84167,1.32806,0.17441,-0.00013,184021912,28.48,1748,0.3,0.6,4,AUDCAD
6386,135021512.00,4347.11,2.25941,1.30448,0.15456,-0.01530,135021512,28.13,1924,0.3,0.6,3,AUDCAD
7502,128024112.00,9009.02,6.06260,1.77233,0.33158,-0.01275,128024112,27.17,1486,0.3,0.9,3,AUDCAD
18290,184019812.00,4688.27,2.76757,1.32644,0.17711,-0.00014,184019812,26.47,1694,0.3,0.6,5,AUDCAD
434,110019812.00,2464.48,1.07105,1.18864,0.09314,-0.01749,110019812,26.46,2301,0.3,0.6,2,AUDCAD
21638,222023212.00,10782.64,12.17002,1.60136,0.40980,-0.05125,222023212,26.31,886,0.3,1.5,5,AUDCAD
19406,213022912.00,11392.23,9.00572,1.87488,0.43836,-0.02553,213022912,25.99,1265,0.3,0.9,5,AUDCAD
14570,220019312.00,3578.92,3.30464,1.25800,0.13789,-0.03411,220019312,25.96,1083,0.3,1.2,4,AUDCAD
806,120019312.00,3209.11,1.49818,1.26810,0.12368,-0.00004,120019312,25.95,2142,0.3,0.7,2,AUDCAD
3410,132019312.00,2946.21,2.02628,1.27633,0.11373,-0.00008,132019312,25.91,1454,0.3,1.4,2,AUDCAD
2666,110019212.00,3044.39,1.85634,1.27028,0.11767,-0.00004,110019212,25.87,1640,0.3,1.2,2,AUDCAD
14942,215019212.00,3023.22,2.95236,1.20834,0.11686,-0.06770,215019212,25.87,1024,0.3,1.3,4,AUDCAD
8990,128019212.00,3292.16,2.83807,1.28261,0.12725,-0.01695,128019212,25.87,1160,0.3,1.3,3,AUDCAD
18600,40018212.00,14532.88,1.47139,1.41524,0.58455,-0.00021,40018212,24.86,9877,0.1,0.7,5,AUDCAD
20150,202021412.00,12677.96,11.99429,1.94293,0.51662,-0.02601,202021412,24.54,1057,0.3,1.1,5,AUDCAD
14136,49023213.00,18453.39,2.27989,1.60284,0.77776,-0.00001,49023213,23.73,8094,0.1,1.1,4,AUDCAD
8184,49023213.00,15047.96,1.70322,1.55945,0.63428,-0.00001,49023213,23.72,8835,0.1,1.1,3,AUDCAD
5270,133020112.00,1864.48,1.49878,1.17086,0.08020,-0.02049,133020112,23.25,1244,0.3,1.9,2,AUDCAD
13392,40022413.00,23847.73,2.64622,1.76557,1.04022,-0.00005,40022413,22.93,9012,0.1,0.9,4,AUDCAD
7440,39022413.00,15029.27,1.52985,1.57744,0.65557,-0.00001,39022413,22.93,9824,0.1,0.9,3,AUDCAD
5580,48022413.00,6390.09,0.76245,1.32553,0.27915,-0.00006,48022413,22.89,8381,0.1,2,2,AUDCAD
